frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m
0,0.0000,730,211,14,0.707143,-1.170714,7.316617,7.443353
1,0.0333,730,210,14,0.707143,-1.178571,7.316617,7.444593
2,0.0667,731,211,14,0.715000,-1.170714,7.316617,7.444104
3,0.1000,730,211,14,0.707143,-1.170714,7.316617,7.443353
4,0.1333,730,211,14,0.707143,-1.170714,7.316617,7.443353
5,0.1667,730,211,14,0.707143,-1.170714,7.316617,7.443353
6,0.2000,730,211,14,0.707143,-1.170714,7.316617,7.443353
7,0.2333,730,212,14,0.707143,-1.162857,7.316617,7.442121
8,0.2667,730,212,13,0.761538,-1.252308,7.879434,8.014592
9,0.3000,729,212,13,0.753077,-1.252308,7.879434,8.013793
10,0.3333,730,212,13,0.761538,-1.252308,7.879434,8.014592
11,0.3667,729,212,13,0.753077,-1.252308,7.879434,8.013793
12,0.4000,,,,,,,
13,0.4333,,,,,,,
14,0.4667,,,,,,,
15,0.5000,,,,,,,
16,0.5333,,,,,,,
17,0.5667,,,,,,,
18,0.6000,,,,,,,
19,0.6333,,,,,,,
20,0.6667,,,,,,,
21,0.7000,,,,,,,
22,0.7333,,,,,,,
23,0.7667,,,,,,,
24,0.8000,,,,,,,
25,0.8333,,,,,,,
26,0.8667,,,,,,,
27,0.9000,,,,,,,
28,0.9333,,,,,,,
29,0.9667,,,,,,,
30,1.0000,,,,,,,
31,1.0333,,,,,,,
32,1.0667,,,,,,,
33,1.1000,,,,,,,
34,1.1333,,,,,,,
35,1.1667,733,219,5,2.046000,-3.102000,20.486527,20.820814
36,1.2000,733,218,6,1.705000,-2.603333,17.072106,17.353420
37,1.2333,733,218,6,1.705000,-2.603333,17.072106,17.353420
38,1.2667,732,218,6,1.686667,-2.603333,17.072106,17.351628
39,1.3000,732,218,7,1.445714,-2.231429,14.633234,14.872824
40,1.3333,732,218,7,1.445714,-2.231429,14.633234,14.872824
41,1.3667,733,218,6,1.705000,-2.603333,17.072106,17.353420
42,1.4000,733,218,6,1.705000,-2.603333,17.072106,17.353420
43,1.4333,,,,,,,
44,1.4667,,,,,,,
45,1.5000,,,,,,,
46,1.5333,731,218,5,2.002000,-3.124000,20.486527,20.819826
47,1.5667,732,217,8,1.265000,-1.966250,12.804079,13.015791
48,1.6000,732,218,6,1.686667,-2.603333,17.072106,17.351628
49,1.6333,732,218,8,1.265000,-1.952500,12.804079,13.013721
50,1.6667,,,,,,,
51,1.7000,733,218,7,1.461429,-2.231429,14.633234,14.874360
52,1.7333,734,218,6,1.723333,-2.603333,17.072106,17.355230
53,1.7667,732,218,7,1.445714,-2.231429,14.633234,14.872824
54,1.8000,735,216,9,1.161111,-1.760000,11.381404,11.575065
55,1.8333,736,217,9,1.173333,-1.747778,11.381404,11.574446
56,1.8667,736,216,8,1.320000,-1.980000,12.804079,13.023335
57,1.9000,734,218,6,1.723333,-2.603333,17.072106,17.355230
58,1.9333,734,218,6,1.723333,-2.603333,17.072106,17.355230
59,1.9667,734,218,6,1.723333,-2.603333,17.072106,17.355230
60,2.0000,735,215,11,0.950000,-1.450000,9.312058,9.472034
61,2.0333,735,215,12,0.870833,-1.329167,8.536053,8.682697
62,2.0667,735,215,12,0.870833,-1.329167,8.536053,8.682697
63,2.1000,735,215,11,0.950000,-1.450000,9.312058,9.472034
64,2.1333,735,215,12,0.870833,-1.329167,8.536053,8.682697
65,2.1667,735,215,12,0.870833,-1.329167,8.536053,8.682697
66,2.2000,735,215,12,0.870833,-1.329167,8.536053,8.682697
67,2.2333,735,215,12,0.870833,-1.329167,8.536053,8.682697
68,2.2667,735,215,11,0.950000,-1.450000,9.312058,9.472034
69,2.3000,735,213,13,0.803846,-1.243846,7.879434,8.017406
70,2.3333,736,215,11,0.960000,-1.450000,9.312058,9.473042
71,2.3667,735,213,13,0.803846,-1.243846,7.879434,8.017406
72,2.4000,734,213,13,0.795385,-1.243846,7.879434,8.016562
73,2.4333,733,211,13,0.786923,-1.260769,7.879434,8.018370
74,2.4667,734,212,13,0.795385,-1.252308,7.879434,8.017879
75,2.5000,733,211,13,0.786923,-1.260769,7.879434,8.018370
76,2.5333,734,212,13,0.795385,-1.252308,7.879434,8.017879
77,2.5667,734,212,13,0.795385,-1.252308,7.879434,8.017879
78,2.6000,734,212,13,0.795385,-1.252308,7.879434,8.017879
79,2.6333,734,212,13,0.795385,-1.252308,7.879434,8.017879
80,2.6667,734,212,13,0.795385,-1.252308,7.879434,8.017879
81,2.7000,734,212,13,0.795385,-1.252308,7.879434,8.017879
82,2.7333,734,212,13,0.795385,-1.252308,7.879434,8.017879
83,2.7667,734,210,13,0.795385,-1.269231,7.879434,8.020540
84,2.8000,732,210,14,0.722857,-1.178571,7.316617,7.446102
85,2.8333,733,210,14,0.730714,-1.178571,7.316617,7.446869
86,2.8667,733,210,13,0.786923,-1.269231,7.879434,8.019705
87,2.9000,734,210,13,0.795385,-1.269231,7.879434,8.020540
88,2.9333,734,210,13,0.795385,-1.269231,7.879434,8.020540
89,2.9667,732,209,14,0.722857,-1.186429,7.316617,7.447350
90,3.0000,732,210,14,0.722857,-1.178571,7.316617,7.446102
91,3.0333,732,210,14,0.722857,-1.178571,7.316617,7.446102
92,3.0667,732,211,14,0.722857,-1.170714,7.316617,7.444862
93,3.1000,733,211,14,0.730714,-1.170714,7.316617,7.445629
94,3.1333,733,212,14,0.730714,-1.162857,7.316617,7.444398
95,3.1667,736,215,14,0.754286,-1.139286,7.316617,7.443104
96,3.2000,736,216,14,0.754286,-1.131429,7.316617,7.441906
97,3.2333,738,216,14,0.770000,-1.131429,7.316617,7.443515
98,3.2667,741,218,14,0.793571,-1.115714,7.316617,7.443618
99,3.3000,745,218,14,0.825000,-1.115714,7.316617,7.447035
100,3.3333,748,216,14,0.848571,-1.131429,7.316617,7.452052
101,3.3667,753,216,14,0.887857,-1.131429,7.316617,7.456628
102,3.4000,758,215,14,0.927143,-1.139286,7.316617,7.462603
103,3.4333,763,215,14,0.966429,-1.139286,7.316617,7.467586
104,3.4667,767,215,14,0.997857,-1.139286,7.316617,7.471718
105,3.5000,774,215,14,1.052857,-1.139286,7.316617,7.479262
106,3.5333,778,215,14,1.084286,-1.139286,7.316617,7.483751
107,3.5667,784,215,14,1.131429,-1.139286,7.316617,7.490727
108,3.6000,788,215,14,1.162857,-1.139286,7.316617,7.495538
109,3.6333,793,216,14,1.202143,-1.131429,7.316617,7.500544
110,3.6667,797,217,13,1.328462,-1.210000,7.879434,8.081731
111,3.7000,800,216,15,1.173333,-1.056000,6.828842,7.008918
112,3.7333,802,218,14,1.272857,-1.115714,7.316617,7.509851
113,3.7667,804,220,14,1.288571,-1.100000,7.316617,7.510213
114,3.8000,804,221,14,1.288571,-1.092143,7.316617,7.509066
115,3.8333,803,222,14,1.280714,-1.084286,7.316617,7.506583
116,3.8667,794,220,14,1.210000,-1.100000,7.316617,7.497132
117,3.9000,786,216,15,1.070667,-1.056000,6.828842,6.992464
