frame_idx,time_s,u_px,v_px,r_px,X_m,Y_m,Z_m,distance_m,Vx_m_s,Vy_m_s,Vz_m_s,V_m_s
0,0.0000,730,211,14,0.707143,-1.170714,7.316617,7.443353,,,,
1,0.0333,730,210,14,0.707143,-1.178571,7.316617,7.444593,0.000000,-0.235714,0.000000,0.235714
2,0.0667,731,211,14,0.715000,-1.170714,7.316617,7.444104,0.235714,0.235714,0.000000,0.333350
3,0.1000,730,211,14,0.707143,-1.170714,7.316617,7.443353,-0.235714,0.000000,0.000000,0.235714
4,0.1333,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
5,0.1667,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
6,0.2000,730,211,14,0.707143,-1.170714,7.316617,7.443353,0.000000,0.000000,0.000000,0.000000
7,0.2333,730,212,14,0.707143,-1.162857,7.316617,7.442121,0.000000,0.235714,0.000000,0.235714
8,0.2667,730,212,13,0.761538,-1.252308,7.879434,8.014592,1.631868,-2.683516,16.884500,17.174126
9,0.3000,729,212,13,0.753077,-1.252308,7.879434,8.013793,-0.253846,0.000000,0.000000,0.253846
10,0.3333,730,212,13,0.761538,-1.252308,7.879434,8.014592,0.253846,0.000000,0.000000,0.253846
11,0.3667,729,212,13,0.753077,-1.252308,7.879434,8.013793,-0.253846,0.000000,0.000000,0.253846
12,0.4000,,,,,,,,,,,
13,0.4333,,,,,,,,,,,
14,0.4667,,,,,,,,,,,
15,0.5000,,,,,,,,,,,
16,0.5333,,,,,,,,,,,
17,0.5667,,,,,,,,,,,
18,0.6000,,,,,,,,,,,
19,0.6333,,,,,,,,,,,
20,0.6667,,,,,,,,,,,
21,0.7000,,,,,,,,,,,
22,0.7333,,,,,,,,,,,
23,0.7667,,,,,,,,,,,
24,0.8000,,,,,,,,,,,
25,0.8333,,,,,,,,,,,
26,0.8667,,,,,,,,,,,
27,0.9000,,,,,,,,,,,
28,0.9333,,,,,,,,,,,
29,0.9667,,,,,,,,,,,
30,1.0000,,,,,,,,,,,
31,1.0333,,,,,,,,,,,
32,1.0667,,,,,,,,,,,
33,1.1000,,,,,,,,,,,
34,1.1333,,,,,,,,,,,
35,1.1667,733,219,5,2.046000,-3.102000,20.486527,20.820814,1.616154,-2.312115,15.758867,16.009364
36,1.2000,733,218,6,1.705000,-2.603333,17.072106,17.353420,-10.230000,14.960000,-102.432636,104.023552
37,1.2333,733,218,6,1.705000,-2.603333,17.072106,17.353420,0.000000,0.000000,0.000000,0.000000
38,1.2667,732,218,6,1.686667,-2.603333,17.072106,17.351628,-0.550000,0.000000,0.000000,0.550000
39,1.3000,732,218,7,1.445714,-2.231429,14.633234,14.872824,-7.228571,11.157143,-73.166168,74.364119
40,1.3333,732,218,7,1.445714,-2.231429,14.633234,14.872824,0.000000,0.000000,0.000000,0.000000
41,1.3667,733,218,6,1.705000,-2.603333,17.072106,17.353420,7.778571,-11.157143,73.166168,74.419595
42,1.4000,733,218,6,1.705000,-2.603333,17.072106,17.353420,0.000000,0.000000,0.000000,0.000000
43,1.4333,,,,,,,,,,,
44,1.4667,,,,,,,,,,,
45,1.5000,,,,,,,,,,,
46,1.5333,731,218,5,2.002000,-3.124000,20.486527,20.819826,2.227500,-3.905000,25.608159,25.999780
47,1.5667,732,217,8,1.265000,-1.966250,12.804079,13.015791,-22.110000,34.732500,-230.473430,234.122192
48,1.6000,732,218,6,1.686667,-2.603333,17.072106,17.351628,12.650000,-19.112500,128.040795,130.075959
49,1.6333,732,218,8,1.265000,-1.952500,12.804079,13.013721,-12.650000,19.525000,-128.040795,130.137209
50,1.6667,,,,,,,,,,,
51,1.7000,733,218,7,1.461429,-2.231429,14.633234,14.874360,2.946429,-4.183929,27.437313,27.910443
52,1.7333,734,218,6,1.723333,-2.603333,17.072106,17.355230,7.857143,-11.157143,73.166168,74.427849
53,1.7667,732,218,7,1.445714,-2.231429,14.633234,14.872824,-8.328571,11.157143,-73.166168,74.479092
54,1.8000,735,216,9,1.161111,-1.760000,11.381404,11.575065,-8.538095,14.142857,-97.554891,98.943803
55,1.8333,736,217,9,1.173333,-1.747778,11.381404,11.574446,0.366667,0.366667,0.000000,0.518545
56,1.8667,736,216,8,1.320000,-1.980000,12.804079,13.023335,4.400000,-6.966667,42.680265,43.468373
57,1.9000,734,218,6,1.723333,-2.603333,17.072106,17.355230,12.100000,-18.700000,128.040795,129.963630
58,1.9333,734,218,6,1.723333,-2.603333,17.072106,17.355230,0.000000,0.000000,0.000000,0.000000
59,1.9667,734,218,6,1.723333,-2.603333,17.072106,17.355230,0.000000,0.000000,0.000000,0.000000
60,2.0000,735,215,11,0.950000,-1.450000,9.312058,9.472034,-23.200000,34.600000,-232.801445,236.499287
61,2.0333,735,215,12,0.870833,-1.329167,8.536053,8.682697,-2.375000,3.625000,-23.280144,23.680084
62,2.0667,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
63,2.1000,735,215,11,0.950000,-1.450000,9.312058,9.472034,2.375000,-3.625000,23.280144,23.680084
64,2.1333,735,215,12,0.870833,-1.329167,8.536053,8.682697,-2.375000,3.625000,-23.280144,23.680084
65,2.1667,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
66,2.2000,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
67,2.2333,735,215,12,0.870833,-1.329167,8.536053,8.682697,0.000000,0.000000,0.000000,0.000000
68,2.2667,735,215,11,0.950000,-1.450000,9.312058,9.472034,2.375000,-3.625000,23.280144,23.680084
69,2.3000,735,213,13,0.803846,-1.243846,7.879434,8.017406,-4.384615,6.184615,-42.978728,43.642243
70,2.3333,736,215,11,0.960000,-1.450000,9.312058,9.473042,4.684615,-6.184615,42.978728,43.673403
71,2.3667,735,213,13,0.803846,-1.243846,7.879434,8.017406,-4.684615,6.184615,-42.978728,43.673403
72,2.4000,734,213,13,0.795385,-1.243846,7.879434,8.016562,-0.253846,0.000000,0.000000,0.253846
73,2.4333,733,211,13,0.786923,-1.260769,7.879434,8.018370,-0.253846,-0.507692,0.000000,0.567617
74,2.4667,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.253846,0.253846,0.000000,0.358993
75,2.5000,733,211,13,0.786923,-1.260769,7.879434,8.018370,-0.253846,-0.253846,0.000000,0.358993
76,2.5333,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.253846,0.253846,0.000000,0.358993
77,2.5667,734,212,13,0.795385,-1.252308,7.879434,8.017879,0.000000,0.000000,0.000000,0.000000
